ComInsee,ComLib,InsNumeroInstall,InsNom,EquipementId,EquNom,EquNbEquIdentique,GestionTypeProprietairePrincLib,NatureLibelle,EquGpsX,EquGpsY,ActLib,Address
44209,Treillières,442090002,Complexe Sportif du Gesvres,73821,Salle Kodokan,1,Commune,Intérieur,-1.621485,47.32715,Judo / Jujitsu / Taïso,Salle Olympie 44119 Treillières France
44209,Treillières,442090002,Complexe Sportif du Gesvres,73821,Salle Kodokan,1,Commune,Intérieur,-1.621485,47.32715,Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...,Salle Olympie 44119 Treillières France
44209,Treillières,442090002,Complexe Sportif du Gesvres,73821,Salle Kodokan,1,Commune,Intérieur,-1.621485,47.32715,Boxe française savate,Salle Olympie 44119 Treillières France
44209,Treillières,442090002,Complexe Sportif du Gesvres,73822,Salle Omnisports Olympie,1,Commune,Intérieur,-1.621485,47.32715,Basket-Ball,Salle Olympie 44119 Treillières France
44209,Treillières,442090002,Complexe Sportif du Gesvres,73822,Salle Omnisports Olympie,1,Commune,Intérieur,-1.621485,47.32715,Sport scolaire,Salle Olympie 44119 Treillières France
44209,Treillières,442090002,Complexe Sportif du Gesvres,73822,Salle Omnisports Olympie,1,Commune,Intérieur,-1.621485,47.32715,Handball / Mini hand / Handball de plage,Salle Olympie 44119 Treillières France
44209,Treillières,442090002,Complexe Sportif du Gesvres,73822,Salle Omnisports Olympie,1,Commune,Intérieur,-1.621485,47.32715,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley,Salle Olympie 44119 Treillières France
44209,Treillières,442090002,Complexe Sportif du Gesvres,73822,Salle Omnisports Olympie,1,Commune,Intérieur,-1.621485,47.32715,Tennis,Salle Olympie 44119 Treillières France
44209,Treillières,442090002,Complexe Sportif du Gesvres,73822,Salle Omnisports Olympie,1,Commune,Intérieur,-1.621485,47.32715,"Badminton, Jeu de volant",Salle Olympie 44119 Treillières France
44209,Treillières,442090002,Complexe Sportif du Gesvres,73824,Salle Polyvalente Athéna,1,Commune,Intérieur,-1.621485,47.32715,Autres Danses,Salle Olympie 44119 Treillières France
44209,Treillières,442090002,Complexe Sportif du Gesvres,73824,Salle Polyvalente Athéna,1,Commune,Intérieur,-1.621485,47.32715,Gymnastique volontaire,Salle Olympie 44119 Treillières France
44209,Treillières,442090002,Complexe Sportif du Gesvres,73824,Salle Polyvalente Athéna,1,Commune,Intérieur,-1.621485,47.32715,Tennis de table,Salle Olympie 44119 Treillières France
44209,Treillières,442090002,Complexe Sportif du Gesvres,73824,Salle Polyvalente Athéna,1,Commune,Intérieur,-1.621485,47.32715,Sport scolaire,Salle Olympie 44119 Treillières France
44209,Treillières,442090003,Complexe Sportif Heracles,199674,Salle Omnisports Héraclés,2,Commune,Intérieur,-1.6213959999999998,47.326371,Sport scolaire,Salle Olympie 44119 Treillières France
44209,Treillières,442090003,Complexe Sportif Heracles,199674,Salle Omnisports Héraclés,2,Commune,Intérieur,-1.6213959999999998,47.326371,Basket-Ball,Salle Olympie 44119 Treillières France
